[2026-06-14 11:31:53] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-06-13
正在获取论文...
[ACM] 2026-6-13 | AI, Sensemaking, and Decision-Making in Crisis Contexts
[ACM] 2026-6-13 | Global and Local Attention Fusion Transformer for Robust Human Pose Estimation
[ACM] 2026-6-13 | Fine-Tuning Effects of Low-Cost Object Detection Models for SNS Plush Toy Detection
[ACM] 2026-6-13 | Adaptive Risk Classification in Microservice Architectures: A GMM-Based Approach with Historical Data Normalization
[ACM] 2026-6-13 | A Survey of Threats and Defense Mechanisms in the Control Plane of Polymorphic Smart Network
[ACM] 2026-6-13 | Advancing Arabic Reverse Dictionary Systems: A Transformer-Based Approach with Novel Dataset Construction
[ACM] 2026-6-13 | Multispecies Response-ability in More-than-human Design Practice: Fabulation with Tides
[ACM] 2026-6-13 | TeaRAG: A Token-Efficient Agentic Retrieval-Augmented Generation Framework
[ACM] 2026-6-13 | Metaverse-Enabled Collaborative Platforms for Palm Oil Industry Stakeholders: A Review of Interdisciplinary Innovation and Challenges
[ACM] 2026-6-13 | Potato Late Blight Disease Segmentation Based on Salient Object Detection
[ACM] 2026-6-14 | Proceedings of the 5th ACM International Workshop on Multimedia AI against Disinformation
[ACM] 2026-6-13 | Tangible Co-Ideation: Designing Embodied Prompting for Creative Thinking with Large Language Models
[ACM] 2026-6-13 | Exploring a Multimodal Chatbot as a Facilitator in Therapeutic Art Activity
[ACM] 2026-6-13 | Supporting Speculative Design Thinking through User Journey Mapping Tools
[ACM] 2026-6-13 | A Training-Free Approach to Long-Tail Object Detection for Autonomous Driving
[ACM] 2026-6-13 | An Accuracy Compensation Method for Lightweight Pose Estimation
[ACM] 2026-6-13 | AI Agent Case Study Generating High-Level Test Cases from Requirements
[ACM] 2026-6-13 | EH-ZigBeeNet: An Energy-Harvesting ZigBee IoT Network Dataset to Develop Intelligent Energy-Aware Routing Protocols
[ACM] 2026-6-13 | Dynamic Function Configuration and its Management in Serverless Computing: A Taxonomy and Future Directions
[ACM] 2026-6-13 | Designing Attribution: Technical Disclosure in AI-Mediated Art
[ACM] 2026-6-13 | The Power of "Being Seen": Exploring the Practice of Livestreaming Study Processes Among ADHD Users
[ACM] 2026-6-13 | From Shuffle Cards to Puppets: Reimagining the Jungle Book as a Tangible Narrative
[ACM] 2026-6-13 | Metaphors as Scaffolds: Spatial, Relational, and Embodied Thinking for Youth Usable Privacy Design
[ACM] 2026-6-13 | Designing Transparent AI-Mediated Language Support for Intergenerational Family Communication
[ACM] 2026-6-13 | The Unkillable Deathbot
[ACM] 2026-6-13 | Directed or Undirected: Investigating Fuzzing Strategies in a CI/CD Setup — RCR Report
[ACM] 2026-6-13 | Competitive Memory Editing: A Nash Bargaining Approach to MEMIT Interference Prediction
[ACM] 2026-6-13 | Towards Online Collaborative Teaching of Software Engineering for Safety Critical Systems
[ACM] 2026-6-13 | Empowering Engagement: Designing for Sustainable and Playful Community Crowdsensing
[ACM] 2026-6-13 | The Role of Software Engineering Knowledge in Shaping Effective AI-Driven Development
[ACM] 2026-6-13 | Why Privacy-by-Design (PbD) is Underspecified for Divination Generative AI (GenAI)?
[ACM] 2026-6-13 | Comforting an Emotion-Mirroring Robot: Externalized Self-Soothing via Role-Reversal Touch Interaction
[ACM] 2026-6-13 | How Demographics and Popup Warnings Influence the Spread of Misinformation
[ACM] 2026-6-13 | Machine Learning in Botnet Intrusion Detection for IoT Botnets: A Literature Review in Context of the Evaluation
[ACM] 2026-6-13 | Artificial Intelligence in Tax Administration: A Review of Implementation Strategies, Challenges, and Performance Outcomes
[ACM] 2026-6-13 | Atmospheric Spine: Reconnecting Indoor Dwellers to Local Climate through Sensory Augmentation
[ACM] 2026-6-13 | Featured schools integrate digital technology VR--Looking at the learning of teachers and students' ecological courses DIY self-directed and self-acted
[ACM] 2026-6-13 | Improving PID Control with Bayesian Optimization for Adversarially Robust Federated Learning
[ACM] 2026-6-13 | Survey on the Development of Key Technologies in Computational Power Identification Network
[ACM] 2026-6-13 | DualFocusNet: Dual-Stream Spatio-Temporal Transformer for Generalizable Deepfake Detection
[ACM] 2026-6-13 | Stories and Artifacts: Exploring Narrative and Material Practices in Design   Research
[ACM] 2026-6-13 | When Minimal Data Meets Diverse Creativity: How "Artist Logico Live" Explores Participatory Design of AI as Relational Infrastructure for Creative Communities
[ACM] 2026-6-13 | Adversarial Attacks and Defense in CNNs for Medical X-Ray Classification
[ACM] 2026-6-13 | HEROCS: An On-Device Mobile Computer Vision System for Hazard Detection in Household Environments
[ACM] 2026-6-13 | PiscineMobil: A Design Probe for Interspecies Agency Reversal
[ACM] 2026-6-13 | MotiFit: Empowering Culturally Authentic Exergaming Experiences through   Embodied Interactions with Traditional Chinese Motif
[ACM] 2026-6-13 | Chory Cloth Bot: A Robotic Social Dance Game for Children with Cerebral Palsy
[ACM] 2026-6-13 | Self-Regulated Learning in Higher Education
[ACM] 2026-6-13 | Beyond the Perfect Assistant: Provoking Learning with Flawed AI Partners
[ACM] 2026-6-13 | Fostering Emotional Perspective-Taking: An Exploration of Affective Face-Tracking Interactions in the VR Narrative Rekindle
[ACM] 2026-6-13 | SymbioSip: Human-Plant Symbiosis through a Bidirectional Hydration System
[ACM] 2026-6-13 | Fragmented Spatial Realities: Urban AR and the Fracture of Public Space
[ACM] 2026-6-13 | Security Noir: Critical Designs for Security &amp; Privacy
[ACM] 2026-6-13 | AI Teammates for Conflict Support: A Taxonomy Refined through Design Fiction in Germany and Japan
[ACM] 2026-6-13 | SaferRave – Designing for Reflection and Awareness in Digital Harm Reduction
[ACM] 2026-6-13 | Containing What We Feel: A Tangible Service System for Emotional Regulation
[ACM] 2026-6-13 | My Digital Twin Walks the City
[ACM] 2026-6-13 | UnCert-AIn: Making Clinical AI Uncertainty Explicit through a Design Card Set
[ACM] 2026-6-13 | Moving and Crafting Data Together: Critical and Feminist Perspectives on Technologies for Movement through Movement
[ACM] 2026-6-13 | Learning to Predict Delivery Delays: An Analytical Study of Machine Learning and Oversampling Strategies
[ACM] 2026-6-13 | Two-Path Hybrid Gating for Machine Learning-Augmented FaaS Scheduling on the Edge-Cloud Continuum
[ACM] 2026-6-13 | From Avoidance to Coexistence: Design Interventions for Secondhand Smoke Exposure in Public Social Spaces
[ACM] 2026-6-13 | Embodied Vulnerability in Design Research: Methods, Ethics, and Care
[ACM] 2026-6-13 | Sorting of Many Sorts: Avenues Toward Formalizing Approaches for Multi-Modal Artifacts in Participatory Design and Research
[ACM] 2026-6-13 | Beyond Interaction toward Cooperation and Commoning
[ACM] 2026-6-13 | Nutworth: Designing a Context-Aware Spending Companion to Promote Value-Aligned Financial Decisions
[ACM] 2026-6-13 | EchoField: A Transformable Sonic Palette for Collective and Embodied Listening
[ACM] 2026-6-13 | EduReview: An AI–assisted Risk Aware Design Critique System for K–12 Products
[ACM] 2026-6-13 | Examination of Cognitive Monitoring and Error Detection Processes during Collaborative Software Testing: A Pilot Study
[ACM] 2026-6-13 | Mathematical Validation and Security Analysis of an Educational E-Commerce Web Application
[ACM] 2026-6-13 | Micro-Experience Bingo: Rethinking How Experience is Captured in HCI
[ACM] 2026-6-13 | Resonant Data: Designing to Count the Missing and the Dead in Defense of Life
[ACM] 2026-6-13 | Designing Feast-ness Under Constraint: A Tofu Texture Continuum with Expectation Scaffolds
[ACM] 2026-6-13 | Research on User Focus of Hyper-Casual Games Based on Difficulty Adjustment Theory
[ACM] 2026-6-13 | Improving the Accuracy of NIDS Using a Network Simulator to Prevent Lateral Movement
[ACM] 2026-6-13 | An Explainable Clustering Framework for Post-Tropical Cyclone Impact Profiling in the Philippines: A Comparative Analysis of Optimized Algorithms
[ACM] 2026-6-13 | ACO-RTCov: An Ant Colony Optimization Framework for Real-Time Covariance Detection in 6G-Enabled IoT Networks
[ACM] 2026-6-13 | A Schema-Driven Data Governance System for Multi-Source Heterogeneous Data in Micro-Frontend Architectures
[ACM] 2026-6-13 | Let’s Talk About Privacy: Privacy Negotiation in Intimate Partnerships
[ACM] 2026-6-13 | Exploring Techno-Spirituality through Artistic Research
[ACM] 2026-6-13 | Crafting Generative AI as Material: Small Data and Model Crafting for Artist-Centred AI Art Tools
[ACM] 2026-6-13 | Demonstrating Punch at Your Desk: A Playful, Boxing-Inspired Companion for Workplace Wellbeing
[ACM] 2026-6-13 | Designing Youth Social Media through Problem Space Attunement
[ACM] 2026-6-13 | On the Computability of Measures of Regular Sets of Infinite Trees
[ACM] 2026-6-13 | Meet the AI Moment: Using Afrofuturism and Technowomanism Together as Technological Practice
[ACM] 2026-6-13 | Feeling the Score: An Initial Study of Vibrotactile Sight-Reading
[ACM] 2026-6-13 | Morph-UX: Real-time Shape Transformation as Visceral Conversations
[ACM] 2026-6-13 | Melomove: Self Paced, Movement-Music Tangible Interaction for Older Adults in Public Outdoor Space
[ACM] 2026-6-13 | PeraNETS: Peranakan-Inspired Architectural Tiles as Modular Interfaces
[ACM] 2026-6-13 | Distance of Elements in Reordering Tasks
[ACM] 2026-6-13 | Japanese Hate Speech Detection using Finetuning with RAG-based LLM-labeled data
[ACM] 2026-6-13 | A Multi-Stream Recognition and Translation Approach for Isolated Thai Sign Language
[ACM] 2026-6-13 | One More Prompt: LLM Coding is a Game You Can’t Quite Put Down - A Provocation
[ACM] 2026-6-13 | Towards Understanding the Design of Bidirectional Interactions for Enriching   the Human-Plant Relationship
[ACM] 2026-6-13 | Being Stone: Designing Nonhuman Embodiment in VR
[ACM] 2026-6-13 | BookChat: Research on an Experiential Reading System Enabling Interaction with Stories based on LLM
[ACM] 2026-6-13 | Learning Robust Representations for Malicious Content Detection via Contrastive Sampling and Uncertainty Estimation
[ACM] 2026-6-13 | An RSSI Indoor 3D Localization Technique Using Adaptive Low-rank Approximation-aided Two-stage CNN
[ACM] 2026-6-13 | \(M^{3}QuestionIng\) : Multi-modal Multi-span Medical Question Answering
[ACM] 2026-6-13 | No Stakeholder Left Behind: Regret-Aware Re-ranking for Two-Sided Fair Recommendation
[ACM] 2026-6-13 | SpatialPrompt: XR-Based Spatial Intent Expression as Executable Constraints for AI Generative 3D Design
[ACM] 2026-6-13 | AI as Social Catalyst: Exploring AI’s Impact on Human Social Connection
[ACM] 2026-6-13 | Cache Capsules: A Tangible System for Intentional Communication and Local Storage
[ACM] 2026-6-13 | Development of an Algorithm for Terrain Type Classification Using Inertial Sensor Data
[ACM] 2026-6-13 | Hierarchical Hierarchical Cross-Modal Attention for PPC Prediction
[ACM] 2026-6-13 | Detection of Integrity Attacks in Cloud-Based Cyber-Physical Systems (CBCPS) Using Long Short-Term Memory (LSTM) Models
[ACM] 2026-6-13 | Framework For Building Software Systems For Seamless AI Integration
[ACM] 2026-6-13 | A survey of Consciousness Detection for VR-Based Blood Donation Promotion
[ACM] 2026-6-13 | Patchwork Knowledge: Documenting Material Learning in Human-Computer Interaction
[ACM] 2026-6-13 | Multimodal XR Cards: Co-Designing Remote Social Experiences for Older Adults
[ACM] 2026-6-13 | From Authoritarian Nature to Copy‑Paste Urbanism: Solarpunk Spectacles across Singapore and Brisbane
[ACM] 2026-6-13 | Nurture Robotic Things: Speculating Future of Human Robot Interaction through Creative Designs with Everyday Objects
[ACM] 2026-6-13 | Probes, Not Pipelines: Towards Construction-Aware Textile Taxonomies
[ACM] 2026-6-13 | Urban Interfaces as Technopolitical Devices.
[ACM] 2026-6-13 | Forest Resonance: Sonic–Haptic Interactions Toward In-Situ Engagement with Subtle More-than-Human Life
[ACM] 2026-6-13 | Generative AI as a Speculative Mediator in More-Than-Human Design: An Exploratory Study
[ACM] 2026-6-13 | Carrier Bag Narratives for More-than-Human Care: Rethinking Design, Maintenance, and Worldmaking in HCI
[ACM] 2026-6-13 | Planar-Constrained 3D Instance Segmentation of Rock Discontinuities
[ACM] 2026-6-13 | RCDN: Real-Centered Detection Network for Robust Face Forgery Identification
[ACM] 2026-6-13 | A Dual-Optimized Framework for AI-Driven Data Generation and Secure Internet of Vehicles Network Integration
[ACM] 2026-6-13 | Articulate That Object Part (ATOP): 3D Part Articulation from Text and via Motion Personalization
[ACM] 2026-6-13 | A Method for Co-Designing XR Applications with AI Agents
[ACM] 2026-6-13 | Embodied Consent Interfaces: A Design Probe for Privacy Decision-Making in Virtual Reality
[ACM] 2026-6-13 | Reintroducing the Affected Hand in Desktop Work: Pad-and-Gripper Input for Asymmetric Bimanual Interaction
[ACM] 2026-6-13 | FSTNet: Feature Selection Transformer Network for Low-Light Image Enhancement
[ACM] 2026-6-13 | WebAssembly Performance Assessment on Resource Constrained Edge
[ACM] 2026-6-14 | When Memes Manipulate: Multimodal Tools of Disinformation
[ACM] 2026-6-13 | Designing Cultural Resilience as Practice: Participatory Design for Immigrant Heritage
[ACM] 2026-6-13 | Companion Publication of the 2026 ACM Designing Interactive Systems Conference
[ACM] 2026-6-13 | CarryOn: Reimagining Carrier Access &amp; Use for Urban Shoppers
[ACM] 2026-6-13 | Structural Interaction: Shifting the Focus of User Interface Design
[ACM] 2026-6-13 | Electro-Guo: Edible Electrotactile Displays for Programmable Gastronomy
[ACM] 2026-6-13 | Designing for Dissensus: Arts-Based Methods for Generative Friction in Design
[ACM] 2026-6-13 | Calories as Computation: Moving from Perceptible to Palpable Environmental Costs of Generative AI through a Design Fiction Workshop
[ACM] 2026-6-13 | Value-Based Pricing of LLMs: A three dimensions Framework for Input, Model, and Output Costs
[ACM] 2026-6-13 | Efficient Human Action Recognition with Mixed-Precision V-JEPA on Embedded Devices
[ACM] 2026-6-13 | Attention-Gated Residual U-Net for Accelerated Topology Optimization
[ACM] 2026-6-13 | Whose Innovation? Whose Heritage?: Postcolonial Tensions and Meta-Research Agendas about Chinese Intangible Cultural Heritage Research in HCI
[ACM] 2026-6-13 | From Home to Housing: Designing Smart Home Care Ecologies
[ACM] 2026-6-13 | Design Directions for Calibrating Pulse Oximetry to Skin Color
[ACM] 2026-6-13 | CheckerVision: Grid-Based Interleaving of Concurrent 3D Environments in VR
[ACM] 2026-6-13 | Towards Evaluating Student Agency in AI‑Mediated Learning
[ACM] 2026-6-13 | Practical Algorithms for Minimal Interlocking Systems: Formalizing Geometric Logic into Spatial Structures
[ACM] 2026-6-13 | When Does Smartwatch Use Feel Good (or Annoying)? Mapping Feature–Context–Emotion Profiles in Daily Life
[ACM] 2026-6-13 | Demonstration of MiXR: Harvesting and Recomposing Geometry from Real-World Objects for In-Situ 3D Design
[ACM] 2026-6-13 | Socio-Technical Fiction and Legal Exegesis: Exploring the AI Act in the Near Future of Agentic AI
[ACM] 2026-6-13 | Player Selection and Classification in Sports using Machine Learning Approaches
[ACM] 2026-6-13 | Choose Your Own Perspective: Designing Role-Based Agency in Heritage Learning
[ACM] 2026-6-13 | Visions and Practices of Emerging and Current Climate Technologies from the Pacific Northwest Environmental and Climate Justice Movement
[ACM] 2026-6-13 | SlimeUI: Exploring Non-Newtonian Fluid as a Deformable Interface for Digital Musical Expression
[ACM] 2026-6-13 | "I'm Not Able to Be There for You": Emotional Labour, Responsibility, and AI in Peer Support
[ACM] 2026-6-13 | Decaying Interfaces: Embracing Material Temporality through SlimeUI
[ACM] 2026-6-13 | Introduction to the Special Issue on Machine Learning for CAD, Part II
[ACM] 2026-6-13 | Frustration as Design Friction: How People with Mild Cognitive Impairment Adapt, Resist, and Redesign Systems
[ACM] 2026-6-13 | Enhancing the Accuracy of Nikkei 225 Forecasting Via LLM-Based Filtering of Noisy Social Media Data
[ACM] 2026-6-14 | How AI-Based Regeneration Reshapes Multimedia Forensics
[ACM] 2026-6-13 | When Chairs Speak: Interpreting Postural Cues as Social Signals in Hybrid Work
[ACM] 2026-6-13 | Designing Spatial Interfaces
[ACM] 2026-6-13 | Designed Away: Human Agency in the Age of Frictionless, AI-Mediated Knowledge
[ACM] 2026-6-13 | Ambient Foam Augmentation for Japanese Tea Ceremony with Electrolysis Bubbles
[ACM] 2026-6-13 | Listen to the Plant: Exploring the Design of Plant Care as an Auditory Interface to Promote Caregiving Behavior
[ACM] 2026-6-13 | Adaptive Indexing for Schema-Less Temporal Databases Using Hierarchical Similarity Measurement
[ACM] 2026-6-13 | Performance Assessment of MQTT Communication over 4G Networks for Connected E-Bike Systems
[ACM] 2026-6-13 | butterfl.ai: An Exhibit Leveraging Interactive Visualisation to Build Intuition of AI’s Environmental and Productivity Impacts
[ACM] 2026-6-13 | Movement and Training Technologies (MoTTs): Minimalist Smartwatch-based Wearables to Support Physical Rehabilitation and Training Activities
[ACM] 2026-6-13 | Breatho: Real-Time Respiratory Guidance System for Amateur Runners
[ACM] 2026-6-13 | Reframing Bite Block Removal Decisions as an Interaction Design Problem under Uncertainty
[ACM] 2026-6-13 | Modeling and Monitoring InSAR Time-Series Deformation in Hangzhou Bay via an SE-Attention Temporal Convolutional Residual Transformer
[ACM] 2026-6-14 | Generative Deepfake Videos in the Foundation-Model Era: A Timeline of Eroding Trust in Visual Evidence
[ACM] 2026-6-13 | Should Machines Get to Judge? Rethinking the Design of AI-Mediated Assessment in Education
[ACM] 2026-6-13 | Entanglements and Unintended Consequences of Automated Vehicles: An Instance-based Discussion for Generative Uncertainty
[ACM] 2026-6-13 | A multi-tier explainable AI architecture for the prediction of cardiovascular diseases
[ACM] 2026-6-13 | Extraction of Road Surface Condition Changes Using Vision-Language Models for Snow Removal Dispatch Decision Support
[ACM] 2026-6-14 | RoPe-DW: Robust and Perceptual Dual Watermarking for Secure AI-Generated Multimedia Content
[ACM] 2026-6-13 | Relating Otherwise: Pluriversal Pathways for Reworlding More-than-Human Design
[ACM] 2026-6-13 | Exploring a Hybrid Wearable and Computer-Vision Approach for At-Home Carpal Tunnel Rehabilitation
[ACM] 2026-6-13 | MuseMeal: Supporting Healthy Cooking through Embodied Conversational Interaction and Wearable Projection
[ACM] 2026-6-13 | Beyond Moving Appendages: Breathing Together as Bodily Sympathy in a Relational, Soma-Informed Human–Robot Encounter
[ACM] 2026-6-13 | University Websites Going West: Algorithmic Gentrification and the Identity Tax on Interface Design Evaluation
[ACM] 2026-6-13 | Refined Non-Local Blocks for Precise Segmentation of Diplococci in Microscopy Imagery
共写入 261 条记录，保存到 papers/paper2026-06-13.json。
论文获取成功，文件路径: papers/paper2026-06-13.json
正在筛选、翻译并发送邮件...
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 1/261 | AI, Sensemaking, and Decision-Making in Crisis Contexts
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 2/261 | How Older Adults Enact Values Through Technology
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 3/261 | NomadicPerch: More-Than-Human Co-Design of a Shared Perch
判定相关性时出错： Error code: 402 - {'error': {'message': 'Insufficient Balance', 'type': 'unknown_error', 'param': None, 'code': 'invalid_request_error'}}
[NO] 4/261 | Human Experience in AI-Mediated Worlds
